"artist","genre"
"Angela Valenzuela","R&B"
"Daniel Young","Pop"
"Angel Rice","Electronic"
"Rachel Mendez","R&B"
"Antonio Jacobs","Pop"
"Sarah Miller","R&B"
"Crystal Wagner","Pop"
"Margaret Rodriguez","Hip-Hop"
"Alan Miller","Pop"
"John Vasquez","Folk"
"Ashley Chavez","R&B"
"Matthew Silva","Folk"
"Wendy Alexander","Hip-Hop"
"Tyler Hanson","Pop"
"Nathaniel Davis","Jazz"
"Andrea Mann","Electronic"
"Rebecca Bishop","Electronic"
"Luis Burch","Pop"
"Elaine Mccormick","Electronic"
"Lori Baird","Electronic"
"Nancy King","Hip-Hop"
"David Benson","R&B"
"Vanessa Young","Electronic"
"Daniel Preston","Classical"
"Anthony Fowler","Electronic"
"Michael Thomas","Hip-Hop"
"Joseph Anderson","Electronic"
"Robert Singh","Hip-Hop"
"Karen Jensen","Electronic"
"Christina Lamb","Electronic"
"Omar Lopez","Pop"
"Adrian Jenkins","Electronic"
"Jordan Vasquez","Electronic"
"David Hughes","Pop"
"Tammy Clements","Hip-Hop"
"James Ross","Hip-Hop"
"Ricky Bryant","Classical"
"Angela Garcia","Hip-Hop"
"Gregory Roberts","Pop"
"Jeremy Sullivan","Classical"
"Robert Beard","Hip-Hop"
"Matthew Jackson","Pop"
"Tracy Hansen","Classical"
"Brooke Willis","Electronic"
"Mark Farmer","Hip-Hop"
"Brittany Graham","Country"
"Janet Curry","Country"
"Michael Cole","Hip-Hop"
"Amber Gomez","Pop"
"Loretta Wall","Pop"
"Caitlyn Nelson","Classical"
"Larry Turner","Pop"
"Paige Williamson","Pop"
"Tina Garza","Pop"
"James Taylor","Electronic"
"Mark Nichols","Electronic"
"Zachary Long","Folk"
"Gina Miller","Electronic"
"David Jones","Pop"
"Sharon Torres","Hip-Hop"
"Maria Carter","Pop"
"Michael Martin","Electronic"
"Teresa Joseph DVM","Pop"
"Jennifer Bennett","Hip-Hop"
"Michael Maldonado","Hip-Hop"
"Roy Walker","Electronic"
"Elizabeth Harmon","Hip-Hop"
"Jennifer Carroll","Electronic"
"Olivia Perkins","Hip-Hop"
"Melissa Powell","Electronic"
"Andrew Brown","Electronic"
"Andrea Brown","Pop"
"Andrea Miller","Pop"
"Lisa Andrews","Hip-Hop"
"Bradley Clark","Hip-Hop"
"Lauren Cook","Electronic"
"Amber Lin","Electronic"
"Joshua West","Pop"
"Don Rios","Electronic"
"Anita Wood","Folk"
"Lisa Juarez","Hip-Hop"
"Rachel Edwards","Hip-Hop"
"Wesley Williams","Electronic"
"Ariana Mcfarland","Electronic"
"Amy Mack","Pop"
"Eric Wilson","Pop"
"Abigail Collins","Jazz"
"William Lutz","Folk"
"Brandy Robinson","Pop"
"Vernon Flores","Folk"
"John Armstrong","Electronic"
"Brent Brown","Country"
"Diana Perkins","Hip-Hop"
"Laurie Moore","Pop"
"Sheryl Barnes","Pop"
"Rhonda Solis","Electronic"
"Matthew Garrett","Hip-Hop"
"Jenny West","Pop"
"Kevin Clayton","R&B"
"Sean Williams","Reggae"
"Christopher Knight","Pop"
"Rodney Owen","Pop"
"Jerry Vasquez","Country"
"Kenneth Rivers","Pop"
"Matthew Wright","Jazz"
"Teresa Kelley","Electronic"
"Cheryl Flynn","Electronic"
"Jennifer Norris","Classical"
"Michael Hopkins","Pop"
"Deanna Patterson","Electronic"
"Nicholas Carrillo","Electronic"
"Andrew Cobb","Electronic"
"John Calhoun","Hip-Hop"
"Amber Harrington","Electronic"
"Kevin Weber","Hip-Hop"
"Caroline Martinez","Pop"
"Donald Jones","Hip-Hop"
"Leslie Smith","Electronic"
"Victoria Davis","Electronic"
"Christopher Wood","Pop"
"Nicole Carter","Folk"
"Kayla Thompson","Jazz"
"Molly Mendez","Country"
"Sarah Gonzalez","Pop"
"Anthony Hall","Electronic"
"Elizabeth Shelton","Hip-Hop"
"Mary Coffey","R&B"
"Troy Miller","Pop"
"Heather Peterson","R&B"
"Frank Noble","Folk"
"Christopher Martin","Electronic"
"Jacqueline Hart","Electronic"
"Kirsten Flores","Pop"
"Susan Smith","Country"
"Alexis Hayden","Country"
"Krista Mitchell","Hip-Hop"
"John Smith","Hip-Hop"
"Rebecca Costa","Country"
"Debra Richardson","Country"
"James Hill","Hip-Hop"
"Richard Robles","Hip-Hop"
"Clinton Campbell","Reggae"
"Anthony Peterson","Pop"
"Jeanette Smith","Hip-Hop"
"Yvette Blake","Pop"
"Cheryl Henderson","Hip-Hop"
"Danielle Lee","Country"
"Wendy Turner","Pop"
"Sheryl Taylor","Hip-Hop"
"Patrick Washington","Pop"
"Nicholas Lee","Electronic"
"Amber Stephens","Folk"
"Anthony Powell","Pop"
"Kathleen Hart","Electronic"
"James Martin","Hip-Hop"
"Sophia Cervantes","Hip-Hop"
"Michele White","Pop"
"Daniel Jensen","Hip-Hop"
"Jessica Rodriguez","Folk"
"Jeffrey Smith","Electronic"
"Brandy Wall","Electronic"
"Jessica Russell","Electronic"
"Peter Dean","Electronic"
"Kara Lee","Hip-Hop"
"Robert Barnes","Jazz"
"David Morse MD","Hip-Hop"
"Jonathan Wang","Electronic"
"Mark Leonard","Pop"
"Laura Heath","Pop"
"Lisa Hernandez","Pop"
"William Barajas","Electronic"
"Samuel Allen","Pop"
"Ashley Roy","Electronic"
"Jason Bass","Electronic"
"Jennifer Austin","Electronic"
"Kathryn Anderson","Hip-Hop"
"Mark Turner","Pop"
"John Hatfield","Pop"
"Emily Silva","Hip-Hop"
"Anthony Tran","Hip-Hop"
"Tyler Middleton","Hip-Hop"
"Gregory Stewart","Country"
"Robin Graham","Electronic"
"Jeffrey Ruiz","Country"
"Christine Smith","Pop"
"Christopher Frazier","Pop"
"Abigail Johns","Classical"
"Holly Parker","Hip-Hop"
"Gary Hester","Pop"
"William Estrada","Hip-Hop"
"Richard Huffman","Hip-Hop"
"John Davis","Hip-Hop"
"Alicia Vasquez","R&B"
"Monica Stevens","Electronic"
"Ricardo Kim","Jazz"
"Jacob Kelly","Jazz"
"Yolanda Brown","Pop"
"Jody Reynolds","Jazz"
"Laura Powers","Pop"
"Tina Stanley","Pop"
"Mallory Gay","Hip-Hop"
"John Mendez","Pop"
"Martin Burns","Electronic"
"Melanie White","Pop"
"Dr. Lauren Schmidt","Hip-Hop"
"Catherine Reeves","Pop"
"Michelle Dyer","Electronic"
"Rebecca Le","Electronic"
"Emily Thompson","Pop"
"Vanessa Powell","Country"
"Joseph Brooks","Hip-Hop"
"Kathryn Mcdonald","Hip-Hop"
"David Schultz","Electronic"
"Molly Young","Classical"
"Kristine Williams","Hip-Hop"
"Alexandra Martinez","Pop"
"James Parrish","Pop"
"Taylor Castro MD","Electronic"
"Deborah Ward","Pop"
"Derek Rodriguez","Pop"
"Troy Ramirez","Pop"
"Tiffany Sawyer","Pop"
"Patrick Hicks MD","Reggae"
"Sarah Vazquez","Hip-Hop"
"Joshua Hill","Hip-Hop"
"Mackenzie Hall","Electronic"
"Jordan Moody","Pop"
"Cheryl James","Pop"
"Jonathan Medina","Folk"
"Tyler Hull","Classical"
"Sheila Robbins","Hip-Hop"
"Nathaniel Howell","Hip-Hop"
"Andrea Brown","Electronic"
"Wendy Morris","Hip-Hop"
"Janet Rodriguez","Reggae"
"Elizabeth Ford","Pop"
"Andrew Ramos","Hip-Hop"
"Lisa Carpenter","Electronic"
"Philip Burns","Folk"
"Nicole Hill","Pop"
"Denise Hart","Hip-Hop"
"Alison Wilson","Country"
"Joseph Rivas","Electronic"
"Jaime Flores","Country"
"Chelsea Cook","Hip-Hop"
"Michael Robinson","Hip-Hop"
"Jessica Rice","Hip-Hop"
"Michael Hardin","Country"
"Michael Matthews","Jazz"
"Shawn Bentley","Electronic"
"Kyle Brown","Hip-Hop"
"David Stone","Folk"
"Anthony Wilson","Country"
"Andrea Wheeler","Classical"
"Andrea Rodriguez","Hip-Hop"
"Roy Bishop","Hip-Hop"
"Richard Sutton","Pop"
"Angel Wagner","Electronic"
"Julie Benson","Jazz"
"Matthew Kelley","Electronic"
"Leah Johnson","Electronic"
"Paul Nguyen","Jazz"
"Kevin Harris","Electronic"
"Laura Greene","Pop"
"Paul Green","Electronic"
"Katelyn Mccarthy","Hip-Hop"
"Teresa Atkins","Electronic"
"Kim Butler","Electronic"
"Devin Holmes","Pop"
"Lisa Robbins","Pop"
"Carol Beltran","Electronic"
"Melissa Richardson","Hip-Hop"
"Stephen Ellis","Pop"
"Monica Lee","Electronic"
"Courtney Morris","Hip-Hop"
"Michael Nguyen","Pop"
"Gabrielle Davis","Hip-Hop"
"Bridget Lane","Hip-Hop"
"Cheryl Dillon","Country"
"Harold Hodge","Pop"
"Gina Hernandez","Jazz"
"Nicole Benjamin","Hip-Hop"
"Laura Carter","Pop"
"Tracy Myers","Electronic"
"Gordon Johnson","Hip-Hop"
"Nathan Erickson","Electronic"
"Alexandra Hensley","Electronic"
"Heather Wilson","Electronic"
"Michael Donaldson","Pop"
"Dawn Hanson","Hip-Hop"
"Katherine Fields","Pop"
"Michaela Maxwell","Hip-Hop"
"Ryan Maynard","Pop"
"Charles Walls","Electronic"
"Debra Rojas","Country"
"Jennifer Blair","Electronic"
"Marcus Hayes","Classical"
"Lisa Mullins","Pop"
"Julia Williams","Hip-Hop"
"Jaime Cook","Hip-Hop"
"Charles Wolf","Hip-Hop"
"Paul Mcguire","Electronic"
"Jennifer Vega","Jazz"
"Patrick Hall","Country"
"Rick Ramos","Hip-Hop"
"Jesus Crawford","Pop"
"Connie Lopez","Hip-Hop"
"Jonathan Williams","Electronic"
"Catherine Henson","Pop"
"Joseph Curtis","Electronic"
"Douglas Cuevas","Hip-Hop"
"Katelyn Frazier","Pop"
"Andrew Cohen","Pop"
"Andrew Lewis","Pop"
"Ryan Stone","Reggae"
"Haley Ward","Jazz"
"Terry Pittman","Country"
"Ricardo Cervantes","Hip-Hop"
"Meagan Miller","Electronic"
"Jacob Fleming","Pop"
"David Collins","Hip-Hop"
"Michael Tyler","Electronic"
"Ms. Crystal Bonilla DDS","Classical"
"Ronald Bass","Hip-Hop"
"Jennifer Patterson","Electronic"
"Victoria Frost","Hip-Hop"
"Melissa Parker","Pop"
"Michelle Dickson","Hip-Hop"
"Dennis Oneal","Hip-Hop"
"William Jackson","Pop"
"Erica Ellis","Hip-Hop"
"Donna Velasquez","Jazz"
"Andrew Dillon","Electronic"
"Megan Hamilton","Jazz"
"Steven Edwards","Classical"
"Brian Thomas","Pop"
"Kenneth Franklin","Electronic"
"Austin Jones Jr.","Electronic"
"Dawn Kelly","Electronic"
"Victoria Griffith","Electronic"
"Mary Walker","Pop"
"Jon Shelton","Electronic"
"Edward Rush","Pop"
"Mrs. Mackenzie Tran","Electronic"
"Karen Armstrong","Hip-Hop"
"Maria Ruiz","Hip-Hop"
"David Carter","Jazz"
"Allison Hunt","Electronic"
"Joel Brown","Hip-Hop"
"Charles Freeman","Pop"
"Tina Johnson","Pop"
"Beth Alvarez","Pop"
"David Vaughn","Hip-Hop"
"Timothy Mcdonald","Reggae"
"Alex Hood","Country"
"Angel Holmes","Electronic"
"Dawn Rush","Pop"
"Craig Gray","Folk"
"Sierra Werner","Electronic"
"Christopher Cunningham","Electronic"
"Christine Sullivan","Pop"
"Jose Bradley","Pop"
"Jennifer Waller","Electronic"
"Donald Howe","Pop"
"David Terry","Electronic"
"Emily Shepherd","Hip-Hop"
"Janet Underwood","Electronic"
"Sergio Williams","Country"
"Katrina Miller","Classical"
"Gregory Gilmore","Electronic"
"Thomas Adams","Pop"
"Sharon Palmer","Pop"
"Amy Bullock","Reggae"
"Nicole Sanford","Hip-Hop"
"Angela Hughes","Hip-Hop"
"Samantha Gonzalez","Electronic"
"Brittany Robertson","Pop"
"Christine Butler","Classical"
"Michelle Cook","Reggae"
"Jose Wells","Electronic"
"Derek Johnson","Electronic"
"Danny Graves Jr.","Hip-Hop"
"Jared Huffman","Hip-Hop"
"Christian Carlson","Electronic"
"Charles Williams","Electronic"
"Elizabeth Martin","Electronic"
"Patricia Wells MD","Pop"
"Tracy Garcia","Electronic"
"Bryan Marquez","Pop"
"Katherine Rivas","Classical"
"Julia Baker","Pop"
"Jennifer Rogers","Hip-Hop"
"Steven Mullen","Electronic"
"Erika Clarke","Electronic"
"Amy Maxwell","Pop"
"Richard Willis DDS","Electronic"
"Katherine Donaldson","Hip-Hop"
"Andrew Nicholson","Reggae"
"Ronald Robinson","Electronic"
"Michael Schwartz","Pop"
"Mario Bradley","Hip-Hop"
"Travis Wolfe","Electronic"
"Brandon Roberts","Pop"
"Megan Washington","Classical"
"Anthony Molina","Pop"
"Susan Bradley","Hip-Hop"
"Sandra Anderson","Hip-Hop"
"Christian Douglas","Hip-Hop"
"Brianna Rivera","Hip-Hop"
"Haley Duarte","Hip-Hop"
"Tyrone Moss","Classical"
"Nathan Forbes","Pop"
"Travis Henson","Country"
"Karen Yu","Pop"
"Cathy Owen","Reggae"
"Matthew Salinas","Electronic"
"Jill Huff","Electronic"
"Micheal Jones","Hip-Hop"
"Victoria Carroll","Pop"
"Christopher Reynolds","Pop"
"Jake Campos","Pop"
"Kimberly Miller","Hip-Hop"
"Robert Cunningham","Hip-Hop"
"Michael Smith","Pop"
"Brian Chan","Classical"
"Stephen Santos","Pop"
"Kathryn Young","Jazz"
"Richard Li","Folk"
"Steven Mccoy","Reggae"
"Karen Smith","Electronic"
"Gary Wilson","Electronic"
"Jennifer Richmond","Electronic"
"Sarah Conley","Pop"
"Linda Arroyo","Folk"
"Monica Chang","Pop"
"Colleen Rodgers","Electronic"
"Bryan Navarro","Electronic"
"Ashley Johns","Hip-Hop"
"Elizabeth Lopez","Pop"
"Jon Hall","Hip-Hop"
"Wayne Suarez","Pop"
"Michael Brown MD","Hip-Hop"
"Kevin Coleman MD","Pop"
"Joseph Whitehead","Electronic"
"Mary Adams","Folk"
"Tiffany Cain","Pop"
"Dr. Leslie Morrow","Electronic"
"David Miller","Hip-Hop"
"Daniel Lucas","Hip-Hop"
"Brittany Bradley","Pop"
"Stephen Sweeney","Electronic"
"Sarah Smith","Country"
"Nathan Young","Hip-Hop"
"Ellen Padilla","Classical"
"Crystal Brady","Hip-Hop"
"Connie Velazquez","Pop"
"William Brown","Electronic"
"Chris Benitez","Electronic"
"Melissa Myers","Pop"
"John Murphy","R&B"
"Steven Campos","Hip-Hop"
"Gabriel Jimenez","Pop"
"Angie Johnson","Hip-Hop"
"Emma Bean","Electronic"
"Lance Holmes","Country"
"Lynn Harris","Pop"
"Mary Jones","Country"
"Jason Calderon","Pop"
"Elizabeth Knight","Electronic"
"Molly King","Hip-Hop"
"Erika Jones","Pop"
"Ryan Yang","R&B"
"Margaret Caldwell","Electronic"
"Tony Collins","Electronic"
"Amber Bush","Hip-Hop"
"Rebecca Sparks","Electronic"
"Lauren Harrell","Hip-Hop"
"Natalie Taylor","Classical"
"Erik Dodson","Classical"
"Kelli Terry","Jazz"
"Darrell Palmer","Electronic"
"Christian French","Hip-Hop"
"Nancy Beard","Hip-Hop"
"Garrett Garza","Hip-Hop"
"Krystal Nichols","R&B"
"Adam Lawrence","Classical"
"Richard Lee","Hip-Hop"
"Veronica Burch","Hip-Hop"
"Stephanie Wade","Electronic"
"Lisa Gutierrez","Hip-Hop"
"Tracey Hudson DVM","Hip-Hop"
"Kathy Mason","R&B"
"Carrie Jones","Classical"
"Karen Taylor","Electronic"
"Dawn Johns","Pop"
"Jennifer Douglas","Electronic"
"Brian Harris","Folk"
"Maria Weaver","Electronic"
"David Payne","Pop"
"Amy King","Classical"
"Jason Combs","Pop"
"Jacob Grant","Country"
"Tammy Powell","Country"
"Carla Miranda","Pop"
"Alyssa Dixon","Pop"
"Linda Best","Pop"
"Steven Cole","Pop"
"Heather Drake","Hip-Hop"
"Janice Madden","Electronic"
"Michael Thompson","Hip-Hop"
"Amy Brown","Electronic"
"Erika Larson","Country"
"Kayla Santiago","Pop"
"Christopher Alexander","Electronic"
"Danny Richards","Hip-Hop"
"Anna Howard","Hip-Hop"
"Brian Lowery","Electronic"
"James Fry","Electronic"
"William King","Pop"
"Jorge Sullivan","Pop"
"Angela Jackson","Hip-Hop"
"Jennifer Peterson","Hip-Hop"
"Kendra Moore","Country"
"Daniel Freeman","Hip-Hop"
"Kyle Cook","Electronic"
"Katie Sweeney DDS","Pop"
"Timothy Conway","Hip-Hop"
"Rebecca Elliott","Hip-Hop"
"Shannon Williams","Electronic"
"Steve Hunt","Country"
"James Parsons","Pop"
"Christopher Smith","Pop"
"Justin Petersen","Pop"
"Tina Padilla","Pop"
"Lisa Hoffman","Pop"
"Mr. Kevin Sanford DDS","Electronic"
"Joshua Benson","Electronic"
"Timothy Mack","Hip-Hop"
"James Branch","Electronic"
"Judith Prince","Pop"
"Christopher Carey","Electronic"
"Dr. Deborah Foley","Pop"
"Jennifer Kelly","Hip-Hop"
"Christopher Guzman","Classical"
"Daniel Miranda","R&B"
"Robert Rivers","Electronic"
"Karen Schultz","Folk"
"Ronald Jensen","Electronic"
"Kevin Brown","Pop"
"Nathan Rodriguez","Pop"
"Sarah Cobb","Folk"
"Alicia Bernard","Reggae"
"Cathy Henson","Country"
"Eric Nelson","Country"
"Annette Sherman","Hip-Hop"
"Jennifer Morris","Hip-Hop"
"Laurie Braun","Country"
"Matthew Rodgers","Reggae"
"Antonio Campbell","Hip-Hop"
"Christopher Harvey","Electronic"
"Richard Nunez","Electronic"
"Dr. Nicole Baker","Folk"
"Johnny Vasquez","Classical"
"Rachel Barry","Electronic"
"Ryan Price","Electronic"
"Jeffrey Anderson","Classical"
"Stacey Johns","Country"
"Courtney Smith","Folk"
"Dean Perez","Hip-Hop"
"Christopher Reed","Folk"
"Samantha Pena","Electronic"
"Alison Patrick","Pop"
"Theresa Frey","Electronic"
"Nicholas Li","Pop"
"Jeffrey Stone","Pop"
"David Brown","Pop"
"Connie Knox","Electronic"
"Shannon Roberson","Electronic"
"Debra Lee","Electronic"
"Thomas King","Pop"
"Mr. Jordan Reyes","Pop"
"Margaret Dixon","Pop"
"Justin Flores","Electronic"
"Michelle Brown","Hip-Hop"
"Megan Mcdonald","Folk"
"Tamara Rogers","Pop"
"Eric Hernandez","Pop"
"Crystal Merritt","Electronic"
"Douglas Rivera","Hip-Hop"
"Victor Salas","Electronic"
"Susan Robertson","Electronic"
"John Davis","Electronic"
"Sarah Vazquez","Electronic"
"Benjamin Jordan","Electronic"
"James Figueroa","R&B"
"Michael Jennings","Electronic"
"Barbara Peterson DDS","Classical"
"Katie Hammond","Classical"
"Stephen Carroll","Hip-Hop"
"Jeff Delgado","Folk"
"Joseph Hall","Pop"
"Robert Martinez","Reggae"
"Lisa Cole","Pop"
"Kathleen Foster","Electronic"
"Amanda Anderson","Pop"
"Diana Reynolds","Jazz"
"Michael Ibarra","Reggae"
"Sarah Reid","Jazz"
"Christina Lane","Hip-Hop"
"James Watkins","Reggae"
"Heather Robinson","Hip-Hop"
"Jessica Mcdaniel","Pop"
"William Brooks","Pop"
"Donald Strickland","Electronic"
"Tracy Palmer","Hip-Hop"
"Alexander Tucker","Hip-Hop"
"Brooke Ramirez","Country"
"Melissa Pacheco","Pop"
"Patrick Vaughan","Hip-Hop"
"Adam Booker","Classical"
"Mary Chavez","R&B"
