"song_id","duration","popularity","language","label","composer"
"SP0149",239,5,"Spanish","Universal Music","Daniel Charles"
"SP0150",208,43,"German","Def Jam","Sara Macdonald"
"SP0151",352,83,"Spanish","Sony Music","Kevin Berg"
"SP0152",177,91,"English","Warner Music","Mary Perez"
"SP0153",283,99,"English","Def Jam","Megan Small"
"SP0154",290,16,"English","Warner Music","Shannon Jenkins"
"SP0155",239,37,"German","Def Jam","Mr. James Silva"
"SP0156",202,67,"Spanish","Indie","Catherine Walker"
"SP0157",294,86,"English","Sony Music","Brett Clark"
"SP0158",247,87,"Japanese","Atlantic Records","Terry Clark"
"SP0159",274,14,"English","Warner Music","Cathy Lopez"
"SP0160",183,80,"Italian","Sony Music","Bobby Myers"
"SP0161",269,98,"English","Sony Music","Kelly Johnston"
"SP0162",272,41,"Japanese","Def Jam","Shawn Harrington"
"SP0163",239,71,"Spanish","Def Jam","Duane Garcia"
"SP0164",239,15,"English","Def Jam","Emily Nelson"
"SP0165",241,70,"English","Universal Music","Mikayla Hood"
"SP0166",318,74,"English","Def Jam","Brittany Knapp"
"SP0167",141,41,"English","Sony Music","Brian Mcdonald MD"
"SP0168",198,13,"English","Universal Music","Kerry Palmer"
"SP0169",263,98,"English","Sony Music","Troy Potter"
"SP0170",239,89,"English","Sony Music","Amy Dixon"
"SP0171",207,28,"Spanish","Sony Music","Jessica Wright"
"SP0172",182,18,"English","Indie","Tiffany Smith"
"SP0173",259,53,"English","Indie","Michelle Perry"
"SP0174",220,19,"Italian","Indie","Alyssa Tucker"
"SP0175",277,96,"English","Def Jam","Aaron Harris"
"SP0176",193,44,"English","Def Jam","Christie Diaz"
"SP0177",174,50,"English","Atlantic Records","Colin Martinez"
"SP0178",221,28,"German","Def Jam","Jennifer Norman"
"SP0179",191,75,"English","Universal Music","Frances Myers"
"SP0180",273,17,"Korean","Sony Music","Julie Vasquez"
"SP0181",249,13,"English","Atlantic Records","Nicholas Hodges"
"SP0182",249,100,"English","Def Jam","Joseph Brown"
"SP0183",305,85,"English","Universal Music","Clayton Ramirez"
"SP0184",244,30,"Japanese","Atlantic Records","Ashley Bradley"
"SP0185",230,37,"English","Indie","Kristi Rodriguez"
"SP0186",269,95,"English","Sony Music","Mary Cooper"
"SP0187",239,6,"English","Def Jam","Billy Lambert"
"SP0188",234,71,"English","Indie","Kathryn Mendoza"
"SP0189",239,100,"English","Def Jam","Jennifer Edwards"
"SP0190",247,49,"German","Warner Music","Carlos Brown"
"SP0191",259,83,"Korean","Sony Music","Timothy Hansen"
"SP0192",257,89,"English","Indie","Meredith Sullivan"
"SP0193",198,58,"English","Indie","Laurie Humphrey"
"SP0194",275,2,"Korean","Sony Music","Kathleen Moses"
"SP0195",335,38,"Korean","Universal Music","Dawn Riley"
"SP0196",308,97,"German","Warner Music","Elizabeth Bradshaw"
"SP0197",212,9,"French","Indie","Ms. Cheryl Carter MD"
"SP0198",257,88,"English","Sony Music","Melissa Kelly"
"SP0199",212,91,"Spanish","Indie","Vanessa Barnes"
"SP0200",232,17,"English","Sony Music","Jeanette Brown"
"SP0201",214,39,"Korean","Def Jam","Daniel Rodriguez"
"SP0202",239,8,"German","Warner Music","Denise Watson"
"SP0203",297,14,"English","Atlantic Records","Stephanie Rivera"
"SP0204",317,8,"Spanish","Def Jam","Leah Morgan"
"SP0205",179,41,"Japanese","Universal Music","Rita Hughes"
"SP0206",265,70,"English","Warner Music","Kevin Gallegos"
"SP0207",155,21,"Spanish","Atlantic Records","Emma Robertson"
"SP0208",292,15,"English","Atlantic Records","Taylor Villarreal"
"SP0209",181,63,"Japanese","Warner Music","Gwendolyn Jackson"
"SP0210",276,52,"English","Sony Music","Linda Ward"
"SP0211",247,85,"Italian","Universal Music","Colton Anderson"
"SP0212",327,9,"Korean","Def Jam","Michael Cooper"
"SP0213",166,96,"English","Universal Music","Justin Wilson"
"SP0214",267,68,"Italian","Def Jam","Margaret Owen"
"SP0215",280,23,"English","Sony Music","Shannon Guerrero"
"SP0216",239,49,"English","Warner Music","Jennifer Smith"
"SP0217",254,73,"English","Atlantic Records","Thomas Waller"
"SP0218",237,57,"English","Sony Music","Steven Davis"
"SP0219",184,89,"English","Warner Music","Daniel Nolan"
"SP0220",272,27,"German","Atlantic Records","Lisa Mcguire"
"SP0221",311,64,"English","Sony Music","Debra Le"
"SP0222",239,54,"Korean","Atlantic Records","Kaitlyn Rose"
"SP0223",240,80,"English","Indie","Rhonda Baker"
"SP0224",300,57,"English","Atlantic Records","James Bonilla"
"SP0225",268,87,"Spanish","Sony Music","Nancy King"
"SP0226",239,100,"Spanish","Universal Music","Nicole Garcia"
"SP0227",248,49,"English","Def Jam","Alexander Chang"
"SP0228",194,3,"English","Atlantic Records","Margaret Nelson"
"SP0229",239,33,"English","Atlantic Records","Hector Wright"
"SP0230",322,54,"English","Indie","Heather King"
"SP0231",239,82,"English","Atlantic Records","Justin Hale"
"SP0232",237,72,"Japanese","Universal Music","Mark Strong"
"SP0233",214,81,"English","Atlantic Records","Nathan Singh"
"SP0234",232,27,"English","Indie","Reginald Arnold"
"SP0235",213,8,"French","Warner Music","Christopher Larson"
"SP0236",274,12,"English","Universal Music","Mike Brown"
"SP0237",198,22,"English","Atlantic Records","Linda Reynolds"
"SP0238",243,86,"English","Indie","Noah Riley"
"SP0239",206,94,"Italian","Atlantic Records","Derek Martin"
"SP0240",178,86,"English","Def Jam","Douglas Chavez"
"SP0241",239,31,"English","Warner Music","Bridget Mitchell"
"SP0242",250,91,"English","Sony Music","Christopher Williams"
"SP0243",270,83,"English","Atlantic Records","Jose Escobar"
"SP0244",262,43,"English","Def Jam","Lori Sanchez"
"SP0245",368,58,"English","Universal Music","Dawn Mccullough"
"SP0246",228,84,"English","Universal Music","Abigail Norris"
"SP0247",259,20,"English","Warner Music","Craig Brooks"
"SP0248",261,29,"English","Universal Music","Jennifer Nelson"
"SP0249",240,21,"English","Atlantic Records","Margaret Guerra"
"SP0250",219,75,"Italian","Atlantic Records","Dawn Martinez"
"SP0251",271,20,"Spanish","Warner Music","David Nelson"
"SP0252",230,16,"English","Atlantic Records","Michael Carlson"
"SP0253",260,89,"English","Indie","Christopher Strickland"
"SP0254",259,67,"English","Indie","Christine Young"
"SP0255",265,94,"French","Universal Music","Angel Collins"
"SP0256",282,38,"English","Warner Music","Tracey Andrews"
"SP0257",239,50,"English","Sony Music","Brenda Moore"
"SP0258",239,71,"German","Def Jam","Kevin Wise"
"SP0259",215,74,"English","Sony Music","Pam Rodriguez"
"SP0260",255,75,"Japanese","Warner Music","Kathryn Mccoy"
"SP0261",199,7,"English","Universal Music","Stephanie Rush"
"SP0262",151,78,"English","Atlantic Records","Teresa Hartman"
"SP0263",198,48,"English","Def Jam","Amy Pierce"
"SP0264",262,88,"English","Universal Music","Shannon Russell"
"SP0265",215,19,"English","Atlantic Records","Andrea Miller MD"
"SP0266",196,41,"English","Universal Music","Cassandra Thomas"
"SP0267",215,46,"Spanish","Indie","Yolanda Garrett"
"SP0268",239,96,"Japanese","Def Jam","Rachel Pena"
"SP0269",180,74,"English","Warner Music","James Cooper"
"SP0270",263,75,"English","Universal Music","Kristina Walker"
"SP0271",239,25,"English","Indie","Amy Torres"
"SP0272",277,62,"English","Def Jam","Abigail Smith"
"SP0273",239,90,"Japanese","Universal Music","Henry Serrano DVM"
"SP0274",304,71,"Spanish","Sony Music","Tyler Keller"
"SP0275",247,95,"Korean","Atlantic Records","Mark Smith"
"SP0276",239,84,"Italian","Warner Music","John Levine"
"SP0277",195,4,"English","Sony Music","Alexis Bush"
"SP0278",239,94,"English","Def Jam","Patrick Paul"
"SP0279",214,71,"English","Indie","Ian Miller"
"SP0280",198,51,"English","Sony Music","Sean Michael"
"SP0281",185,27,"English","Atlantic Records","Brian Thompson"
"SP0282",268,18,"English","Warner Music","Jeffrey Andersen III"
"SP0283",281,72,"English","Def Jam","Susan Ford"
"SP0284",252,32,"English","Sony Music","Donna Smith"
"SP0285",214,72,"English","Universal Music","Tiffany Jones"
"SP0286",223,97,"English","Sony Music","Crystal Sanders"
"SP0287",195,86,"English","Atlantic Records","Elizabeth Castaneda"
"SP0288",239,1,"English","Sony Music","Heidi Hudson"
"SP0289",243,76,"English","Atlantic Records","Courtney Avery"
"SP0290",223,47,"English","Universal Music","David Alvarez"
"SP0291",280,23,"English","Universal Music","Luis Case"
"SP0292",266,62,"Korean","Warner Music","Suzanne Morales"
"SP0293",245,2,"English","Def Jam","Christine Cruz"
"SP0294",274,96,"German","Universal Music","Matthew Knapp"
"SP0295",205,43,"Spanish","Sony Music","Jessica Ray"
"SP0296",194,12,"English","Indie","Curtis Horton"
"SP0297",248,71,"Korean","Warner Music","James Hess"
"SP0298",279,65,"English","Universal Music","Henry Phelps"
"SP0299",257,2,"English","Sony Music","Rebecca Velez"
"SP0300",329,33,"German","Universal Music","Scott Walters"
"SP0301",242,80,"English","Def Jam","Tiffany Townsend"
"SP0302",172,80,"English","Universal Music","Adam Richardson"
"SP0303",194,43,"English","Warner Music","Laura Lewis"
"SP0304",239,64,"French","Sony Music","Brittany Torres"
"SP0305",214,98,"English","Universal Music","Mark Jackson"
"SP0306",331,98,"English","Def Jam","Heidi Franklin"
"SP0307",238,36,"English","Universal Music","Michael Lane"
"SP0308",261,61,"English","Warner Music","April Adkins"
"SP0309",243,36,"Spanish","Atlantic Records","Mitchell Johnson"
"SP0310",175,35,"English","Indie","Abigail Santos"
"SP0311",211,45,"English","Indie","David Gould"
"SP0312",305,18,"English","Warner Music","William Norton"
"SP0313",218,51,"English","Indie","Aaron Wright"
"SP0314",221,83,"Spanish","Def Jam","Omar Sandoval"
"SP0315",208,11,"English","Sony Music","Andrew Brooks"
"SP0316",316,83,"English","Atlantic Records","Olivia Lucas"
"SP0317",205,58,"English","Def Jam","Arthur Walker"
"SP0318",257,82,"Korean","Universal Music","Valerie Wood"
"SP0319",254,26,"English","Sony Music","Trevor Garcia"
"SP0320",239,15,"English","Warner Music","John Williams"
"SP0321",259,45,"English","Universal Music","Cassandra Fuller"
"SP0322",225,13,"English","Indie","Richard Morgan"
"SP0323",217,76,"Spanish","Atlantic Records","Latoya Morris"
"SP0324",242,32,"English","Indie","Kevin Gonzalez"
"SP0325",277,21,"English","Atlantic Records","Brandon Roy"
"SP0326",289,85,"Spanish","Def Jam","Lindsay Johnson"
"SP0327",239,28,"English","Def Jam","Sandra Singleton"
"SP0328",292,47,"English","Universal Music","Joseph Barrett"
"SP0329",356,73,"English","Warner Music","Mark Solomon"
"SP0330",239,18,"English","Sony Music","Victoria Rodgers"
"SP0331",304,68,"English","Warner Music","Tammy Vincent"
"SP0332",196,92,"English","Indie","Kelly Howard"
"SP0333",252,24,"English","Warner Music","Gabriel Jackson"
"SP0334",267,27,"English","Universal Music","Mrs. Sarah Mckenzie"
"SP0335",277,74,"English","Warner Music","William Taylor"
"SP0336",200,94,"English","Universal Music","Courtney Munoz"
"SP0337",217,27,"Spanish","Universal Music","Krystal Turner"
"SP0338",230,6,"English","Def Jam","James Flores"
"SP0339",260,92,"Italian","Indie","Marcus Mills"
"SP0340",138,84,"Korean","Universal Music","Gabriella Long"
"SP0341",258,46,"English","Atlantic Records","Virginia Young"
"SP0342",264,13,"Spanish","Warner Music","Jonathan Garcia"
"SP0343",208,25,"English","Atlantic Records","Pamela Gray"
"SP0344",320,91,"English","Sony Music","Kristen Leonard"
"SP0345",149,7,"Spanish","Atlantic Records","Debra Lee"
"SP0346",229,29,"English","Warner Music","Daniel Fowler"
"SP0347",210,79,"Italian","Atlantic Records","Timothy Myers"
"SP0348",232,33,"English","Atlantic Records","Paula Jones DVM"
"SP0349",266,43,"English","Atlantic Records","Megan Mendez"
"SP0350",190,63,"Spanish","Sony Music","Timothy Brown"
"SP0351",319,2,"Korean","Warner Music","Barry Armstrong"
"SP0352",244,15,"Korean","Atlantic Records","Patricia Clark"
"SP0353",190,85,"Spanish","Atlantic Records","Tony Franco"
"SP0354",261,97,"English","Atlantic Records","Joseph Parrish MD"
"SP0355",239,94,"English","Atlantic Records","Lisa Lopez"
"SP0356",313,8,"English","Atlantic Records","John Cummings"
"SP0357",215,55,"English","Sony Music","Jasmine Miller"
"SP0358",155,41,"Spanish","Sony Music","Joseph Brown"
"SP0359",232,15,"English","Warner Music","Jade Wilson"
"SP0360",240,50,"English","Indie","John Knight"
"SP0361",239,13,"English","Sony Music","Jordan Peterson"
"SP0362",293,30,"English","Sony Music","Kathy Marks"
"SP0363",239,86,"French","Sony Music","Lisa Newton"
"SP0364",287,67,"Spanish","Sony Music","Melissa Walton"
"SP0365",239,58,"Korean","Atlantic Records","Pamela Bryant"
"SP0366",141,10,"English","Indie","Anthony Burke"
"SP0367",283,66,"English","Warner Music","Jessica Ramirez"
"SP0368",245,75,"English","Sony Music","Brittany Walker"
"SP0369",283,78,"German","Sony Music","Mary Waller"
"SP0370",221,92,"English","Warner Music","Jaime Cook"
"SP0371",292,28,"English","Indie","Jacob Potter"
"SP0372",283,89,"English","Universal Music","Lori Mathews"
"SP0373",231,80,"English","Def Jam","Micheal Gonzalez"
"SP0374",167,87,"English","Indie","Deborah Price"
"SP0375",314,19,"English","Indie","Patrick Diaz"
"SP0376",215,17,"English","Def Jam","Daniel Jackson"
"SP0377",250,48,"English","Atlantic Records","Mary Williams"
"SP0378",84,37,"German","Universal Music","Garrett Henderson"
"SP0379",337,52,"English","Sony Music","Aaron Wheeler"
"SP0380",336,53,"English","Def Jam","Frances Rogers"
"SP0381",318,28,"English","Warner Music","Daniel Hartman"
"SP0382",298,70,"English","Def Jam","Jennifer Williams"
"SP0383",190,14,"Japanese","Universal Music","Sara Craig"
"SP0384",239,15,"English","Indie","Diane Forbes"
"SP0385",260,46,"English","Warner Music","Carl Santiago"
"SP0386",190,45,"Spanish","Indie","Stephanie Baker"
"SP0387",216,68,"Spanish","Universal Music","Denise King"
"SP0388",145,78,"English","Universal Music","Matthew Ward"
"SP0389",260,90,"Spanish","Indie","Sarah Blackburn"
"SP0390",258,69,"English","Indie","Tara Richards"
"SP0391",191,82,"Spanish","Universal Music","Amy Cunningham"
"SP0392",192,1,"Spanish","Atlantic Records","Jonathan Morris"
"SP0393",294,89,"English","Universal Music","Michelle Hicks"
"SP0394",160,83,"English","Atlantic Records","Lisa Lee"
"SP0395",209,92,"English","Atlantic Records","Casey Miller"
"SP0396",193,81,"English","Warner Music","Frances Hanson"
"SP0397",205,27,"English","Sony Music","Victoria Collins"
"SP0398",259,48,"English","Atlantic Records","Hayley Scott"
"SP0399",207,74,"English","Def Jam","Trevor Peterson"
"SP0400",239,4,"English","Sony Music","Jesse Hancock"
"SP0401",237,3,"Italian","Sony Music","Kayla Smith"
"SP0402",169,12,"English","Atlantic Records","Katie Nichols"
"SP0403",179,1,"Spanish","Warner Music","Michael Rivera"
"SP0404",292,52,"English","Def Jam","Paula Rice"
"SP0405",275,72,"English","Universal Music","Julia Coleman"
"SP0406",239,5,"Italian","Indie","Jeffrey Marshall"
"SP0407",239,54,"Spanish","Atlantic Records","Rachel Nguyen"
"SP0408",270,92,"English","Indie","Dr. Alicia Powell"
"SP0409",257,71,"Korean","Indie","Curtis Gray"
"SP0410",239,69,"English","Atlantic Records","Kayla Williams"
"SP0411",253,96,"English","Universal Music","Christopher Caldwell"
"SP0412",274,76,"English","Warner Music","Nicholas Martin"
"SP0413",252,63,"French","Def Jam","Heather Jenkins"
"SP0414",310,86,"English","Indie","Brandon May"
"SP0415",232,69,"English","Universal Music","Michael Richardson"
"SP0416",199,44,"Korean","Sony Music","Sarah Torres MD"
"SP0417",207,74,"English","Atlantic Records","Jessica Montoya"
"SP0418",229,12,"French","Indie","Daniel Bird"
"SP0419",241,25,"English","Indie","Kendra Morrow"
"SP0420",189,68,"English","Atlantic Records","Eric Moore"
"SP0421",214,33,"Korean","Def Jam","Amber Franklin"
"SP0422",181,17,"English","Universal Music","Jason Evans"
"SP0423",303,60,"English","Atlantic Records","Erika Scott"
"SP0424",240,70,"German","Indie","Holly Bender"
"SP0425",261,82,"English","Warner Music","John Clayton"
"SP0426",245,85,"English","Def Jam","Miss Misty Winters"
"SP0427",192,89,"Japanese","Atlantic Records","Candace Munoz"
"SP0428",133,21,"English","Def Jam","Ryan Campbell"
"SP0429",299,87,"English","Sony Music","Jorge Acevedo"
"SP0430",255,34,"English","Warner Music","Christopher Stephens"
"SP0431",195,81,"English","Universal Music","Felicia Hood"
"SP0432",241,31,"English","Universal Music","Andrew Parks"
"SP0433",201,88,"English","Universal Music","Abigail Sosa"
"SP0434",266,37,"English","Def Jam","Lisa Melton"
"SP0435",249,50,"English","Sony Music","Michele Lynn"
"SP0436",224,4,"Spanish","Def Jam","Anne Lee"
"SP0437",212,48,"English","Def Jam","Jennifer Sheppard"
"SP0438",239,69,"Italian","Atlantic Records","Jimmy Lopez"
"SP0439",214,92,"English","Indie","Stephen Miller"
"SP0440",239,57,"Spanish","Def Jam","Scott Ward"
"SP0441",208,42,"English","Warner Music","Christy Johnson"
"SP0442",163,74,"Korean","Indie","Lauren Grant"
"SP0443",217,45,"Spanish","Def Jam","Amanda Wallace"
"SP0444",200,59,"English","Atlantic Records","Crystal Caldwell"
"SP0445",228,37,"English","Def Jam","Roger Cooper"
"SP0446",239,3,"English","Warner Music","Jorge Reilly"
"SP0447",252,3,"English","Universal Music","Ann Smith"
"SP0448",151,55,"English","Indie","Manuel King"
"SP0449",239,62,"English","Universal Music","Dustin Nichols"
"SP0450",328,59,"English","Def Jam","Gary Schwartz"
"SP0451",194,70,"Spanish","Warner Music","Russell Wilson"
"SP0452",199,91,"Italian","Atlantic Records","Andrew Johnson"
"SP0453",254,75,"Spanish","Warner Music","Ashley Murphy"
"SP0454",208,83,"English","Warner Music","Lisa Tate"
"SP0455",283,65,"English","Universal Music","Melinda Watson"
"SP0456",233,81,"German","Universal Music","Jessica Butler MD"
"SP0457",225,96,"English","Indie","Alex Oliver"
"SP0458",239,55,"English","Indie","Julia Skinner"
"SP0459",187,70,"English","Universal Music","Joseph Barker"
"SP0460",248,80,"English","Atlantic Records","Amanda Johnson"
"SP0461",194,44,"English","Atlantic Records","Felicia Hernandez"
"SP0462",273,27,"English","Sony Music","Stacey Schneider"
"SP0463",246,64,"English","Universal Music","Jessica Mathis"
"SP0464",219,74,"Korean","Universal Music","Marissa Gillespie"
"SP0465",239,88,"Italian","Indie","Melinda Mooney"
"SP0466",192,76,"English","Warner Music","Jared Young"
"SP0467",218,86,"Spanish","Indie","Dennis Clark"
"SP0468",187,8,"English","Sony Music","Terri Osborn"
"SP0469",254,75,"English","Indie","Nicole Williams"
"SP0470",209,28,"Spanish","Indie","Monica Smith"
"SP0471",255,61,"Spanish","Atlantic Records","Heidi Powell"
"SP0472",355,51,"English","Atlantic Records","Sabrina Grimes"
"SP0473",257,20,"English","Indie","Steve Bishop"
"SP0474",232,82,"English","Universal Music","Joseph Wallace"
"SP0475",225,55,"English","Indie","Jennifer Taylor MD"
"SP0476",235,68,"English","Sony Music","Kevin Harper"
"SP0477",239,20,"French","Indie","Robert Jones"
"SP0478",254,65,"Spanish","Def Jam","Samuel Long"
"SP0479",230,29,"English","Indie","Mindy Bryant"
"SP0480",239,99,"Korean","Def Jam","Andrew Bailey"
